waveform	Ch0	
t0	03/06/2025  21:45:37.685769	
delta t	0.000500	

time[0]	Ch0
03/06/2025  21:45:39.212769	-1.336000E-1
03/06/2025  21:45:39.213269	-8.769029E-2
03/06/2025  21:45:39.213769	-9.192310E-2
03/06/2025  21:45:39.214269	-8.248068E-2
03/06/2025  21:45:39.214769	-4.568783E-2
03/06/2025  21:45:39.215269	-3.526862E-2
03/06/2025  21:45:39.215769	-6.685186E-2
03/06/2025  21:45:39.216269	2.171147E-2
03/06/2025  21:45:39.216769	8.552916E-2
03/06/2025  21:45:39.217269	1.838605E-1
03/06/2025  21:45:39.217769	2.991231E-1
03/06/2025  21:45:39.218269	2.958671E-1
03/06/2025  21:45:39.218769	3.307063E-1
03/06/2025  21:45:39.219269	3.912680E-1
03/06/2025  21:45:39.219769	4.580161E-1
03/06/2025  21:45:39.220269	5.390906E-1
03/06/2025  21:45:39.220769	5.592778E-1
03/06/2025  21:45:39.221269	5.908611E-1
03/06/2025  21:45:39.221769	6.061643E-1
03/06/2025  21:45:39.222269	6.260259E-1
03/06/2025  21:45:39.222769	6.348172E-1
03/06/2025  21:45:39.223269	5.433234E-1
03/06/2025  21:45:39.223769	5.364858E-1
03/06/2025  21:45:39.224269	5.524402E-1
03/06/2025  21:45:39.224769	4.974138E-1
03/06/2025  21:45:39.225269	4.609465E-1
03/06/2025  21:45:39.225769	4.222000E-1
03/06/2025  21:45:39.226269	3.300551E-1
03/06/2025  21:45:39.226769	2.776334E-1
03/06/2025  21:45:39.227269	2.694934E-1
03/06/2025  21:45:39.227769	1.757205E-1
03/06/2025  21:45:39.228269	1.177636E-1
03/06/2025  21:45:39.228769	4.092189E-2
03/06/2025  21:45:39.229269	-3.852462E-2
03/06/2025  21:45:39.229769	-8.215508E-2
03/06/2025  21:45:39.230269	-2.029529E-1
03/06/2025  21:45:39.230769	-2.553745E-1
03/06/2025  21:45:39.231269	-2.583049E-1
03/06/2025  21:45:39.231769	-3.068194E-1
03/06/2025  21:45:39.232269	-3.152850E-1
03/06/2025  21:45:39.232769	-3.449147E-1
03/06/2025  21:45:39.233269	-3.208202E-1
03/06/2025  21:45:39.233769	-3.178898E-1
03/06/2025  21:45:39.234269	-2.182561E-1
