Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1905.460717963247,-0.008035993448275606,-3.085691106601528,-160.1554647172729
1934.936275390952,-0.008173525184215966,-3.273572296224923,-162.762223621024
1964.867789993467,-0.008446552301173055,-3.471168876242692,-165.3856580502451
1995.26231496888,-0.008364881180750084,-3.676625240847312,-168.0251436461267
2026.127012621143,-0.008398141703119956,-3.891232167570921,-170.6766783169175
2057.46915604784,-0.008616962507785214,-4.114846093072746,-173.3448512572826
2089.29613085404,-0.008494095490196571,-4.347772100961213,-176.023378217695
2121.615436892685,-0.008483056180335451,-4.589986749133371,-178.7132448074006
2154.434690031883,-0.008893287905918002,-4.841098583629215,178.5931724328123
2187.761623949553,-0.008507051709630689,-5.102058294762398,175.8934782398141
2221.604091955812,-0.009196293174326412,-5.372919943496398,173.1869874817434
2255.970068843576,-0.009185517166255559,-5.652409101152241,170.4870885470318
2290.867652767773,-0.008966907500130782,-5.942482187385256,167.7864728095177
2326.305067153626,-0.009230547179401931,-6.241277260082199,165.0958369758866
2362.290662634462,-0.009382335065218735,-6.54972168493576,162.4034307619158
2398.83291901949,-0.008938013788659271,-6.869019769392923,159.7283784614072
2435.940447292027,-0.0086150739635541,-7.197309690611772,157.0582090376961
2473.621991638621,-0.009352721590791925,-7.534864911261828,154.4123887548363
2511.88643150958,-0.009254838328796746,-7.881057096917623,151.775730369582
2550.74278371136,-0.009205701623534627,-8.236621047983585,149.1564544596954
2590.200204531324,-0.009097874308411295,-8.60285813391881,146.5559931411285
2630.267991895381,-0.009186902956332102,-8.976357539612271,143.9869334677216
2670.955587558985,-0.008973874221538327,-9.3589383573681,141.4331299263721
2712.272579332028,-0.009164839670809456,-9.750657523866671,138.9122760495837
2754.228703338166,-0.009983821964425196,-10.14907123213971,136.4232539040671
2796.833846309077,-0.009755553258064091,-10.5545851869147,133.9658940884964
2840.098047914215,-0.009498361276371624,-10.9718727563399,131.5281842072572
2884.031503126605,-0.009611274654673766,-11.39095830718993,129.1296937370362
2928.644564625237,-0.009673354894703941,-11.82118419465326,126.7663660721045
2973.947745234606,-0.01009773622011357,-12.25671515168073,124.4325379691196
3019.951720402016,-0.00940324288861403,-12.70094195349305,122.1448050401087
3066.667330713183,-0.009527689266717022,-13.14883178402376,119.8894423747056
3114.10558444676,-0.009732847998690059,-13.60445324167491,117.6743171253205
3162.277660168379,-0.009789141594396561,-14.06588256479717,115.4783526508117
3211.194909364823,-0.00966841305777778,-14.53247005501214,113.3437772274196
3260.868859118933,-0.009510048487850861,-15.00295863328104,111.2309402307939
3311.311214825911,-0.01012525581840365,-15.47971859083663,109.1629253802847
3362.533862951627,-0.009474333270938386,-15.96058201429262,107.1259159363059
3414.548873833602,-0.008811614770500152,-16.44773703428261,105.1445051029575
3467.368504525316,-0.008988889513993972,-16.93567773938434,103.1918328527271
3521.005201684519,-0.009231054201160284,-17.4264568723345,101.281885958581
3575.471604506214,-0.009635879277646104,-17.92168373950226,99.41308630313522
3630.780547701014,-0.009303598651195942,-18.42287715829128,97.55843790394005
3686.945064519575,-0.009995117980373875,-18.93000240628901,95.76311454180343
3743.978389823812,-0.009036409990905696,-19.43529060620945,93.99892340362504
3801.893963205611,-0.008712361782567894,-19.94530217729609,92.2576928769993
3860.705432153813,-0.009173709450248131,-20.44996897505897,90.58501593570247
3920.426655270153,-0.009391719651065481,-20.96483072079693,88.93937899935557
3981.071705534972,-0.009276996311217506,-21.48134382934925,87.30400093122708
4042.654873623443,-0.008155124193031686,-21.99865713341747,85.70352302801194
4105.190671273079,-0.00832494368702966,-22.50913216768902,84.14415928435847
4168.693834703354,-0.008838378383718879,-23.0431643214637,82.61017796955161
4233.179328088209,-0.008833088960066213,-23.56497333670713,81.13805496696466
4298.662347082277,-0.008358728425176385,-24.09077790638319,79.67299589682513
4365.158322401659,-0.008751822825189931,-24.61230723994621,78.22142527066197
4432.682923460088,-0.01016465954040467,-25.13877863729417,76.85774116321178
4501.252062061337,-0.007624229010799592,-25.65532109178677,75.46329906382154
4570.88189614875,-0.007976284351421697,-26.19446412880242,74.13158039488832
4641.588833612778,-0.01014228609456007,-26.72247920600132,72.81838497354346
4713.389536157405,-0.007426280884122084,-27.25268178521361,71.46866259326814
4786.300923226384,-0.007737000013672574,-27.78585359911469,70.22449181514395
4860.340175990217,-0.008396110606486842,-28.32587478882582,68.98149289534059
4935.524741394806,-0.00687253923842476,-28.83869557696654,67.79672396071628
5011.872336272722,-0.00729551319449355,-29.36536487088345,66.63738170683602
5089.40095151809,-0.006357535217504205,-29.91254143204205,65.45823026374457
5168.128856326035,-0.007011743545397667,-30.44321585542333,64.34814353784157
5248.074602497725,-0.008150868133605629,-30.98085019124767,63.1484007350449
5329.257028812004,-0.006017681562830545,-31.5276788020641,62.01928326934171
5411.695265464637,-0.01105806687162217,-32.06687255894335,60.9862248944191
5495.408738576245,-0.005813485343550065,-32.63177419926565,59.90936206882731
5580.417174769965,-0.005751288604375781,-33.15731835415535,58.86269777151182
5666.740605819912,-0.005727823667420707,-33.70918594316256,57.90438602095006
5754.39937337157,-0.005982511057254654,-34.27644271197992,56.9958680638096
5843.414133735177,-0.005301879406699796,-34.81395697311788,55.77965965464725
5933.80586275328,-0.005099640591651448,-35.34071104177802,54.92548094735893
6025.595860743578,-0.004825981613065355,-35.86229610656108,53.98206476806331
6118.805757518218,-0.004884358816477584,-36.42484616883534,53.15747506979449
6213.457517480757,-0.00494264699292456,-36.98302748462807,52.12936316133838
6309.573444801934,-0.004698575494277756,-37.50712357562173,51.27268991094353
6407.176188675538,-0.003944826348647904,-38.06000205590849,50.28990515313679
6506.288748655572,-0.01631136826294082,-38.55770296650371,49.59481236941726
6606.934480075959,-0.003201024015550495,-39.07769081276469,48.62887606349835
6709.137099554112,-0.01765676579022247,-39.64826031869485,47.7229318823865
6812.920690579614,-0.00268002973853729,-40.11004763289855,47.23719248361031
6918.309709189364,-0.01029553372750723,-40.63891998941947,46.4233441553969
7025.328989730521,-0.002522233913222399,-41.19660792089815,45.33299665464975
7134.003750712563,-0.004856548643921195,-41.67781863368902,44.76456259032442
7244.3596007499,-0.002278966057744105,-42.19228391829414,43.94563678935057
7356.422544596414,-0.001953605091669504,-42.71670375410039,43.23536564234316
7470.218989273315,-0.01393897353567029,-43.33261676336213,42.19797406619664
7585.775750291838,-0.001535578340309814,-43.79249647075734,41.63286802105863
7703.120057972147,-0.00671662759684678,-44.32087810367726,41.1324699094568
7822.279563860026,-0.001530840071308052,-44.9482850985448,40.25195198215431
7943.282347242814,-0.001336479662451061,-45.45121079889211,39.06352557607242
8066.156921766134,-0.01381931756242966,-45.90280695588436,38.63310528024031
8190.932242152973,-6.78100128903211e-05,-46.45739662203142,38.03295484558996
8317.637711026711,-0.002189842158853426,-47.05244409342068,37.62674649686001
8446.303185839686,-0.004482994680087421,-47.61203772336182,36.99843096768819
8576.958985908941,0.0006380973865912437,-48.07919714729429,36.05774707656307
8709.635899560806,-0.005581951982854837,-48.65630125272019,34.98281255365509
8844.365191385996,-0.0006608986991892402,-49.32479978877819,35.19620595739107
8981.178609606946,0.001355114740991848,-49.74577686592936,33.54656424439597
9120.108393559096,-0.006769429378825837,-50.21509324214635,33.64966742829465
9261.187281287936,0.0008004948651579661,-50.82476037145781,33.76692225168762
9404.448517263518,0.002199578785207639,-51.33227165192628,31.58049349499163
9549.925860214358,-0.005424389074442702,-51.88635317590929,31.79519341726412
9697.653591082493,0.001752499855944177,-52.53019647334042,30.03941059155976
9847.666521101581,0.002173707730700407,-52.94733214304667,29.79047280355849
10000,-0.001539593993627807,-53.43292559585336,29.93590250458713
