Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
2119.268592889537,0.01296007841139643,-4.319824855076525,-172.9369576747266
2142.129894518296,0.01293698866037949,-4.474985364855878,-174.6523263362605
2165.237809112449,0.01278302363459078,-4.633534758130613,-176.37518661191
2188.594996973484,0.01248995982028108,-4.794918061162869,-178.1041446532991
2212.204147100502,0.01254997819528044,-4.959827649314481,-179.8373115724298
2236.06797749979,0.01230178000824043,-5.128026339039709,178.4191558124117
2260.189235497735,0.01208046792773042,-5.298413171871747,176.6691193233922
2284.570698057105,0.01262162590347056,-5.473952505194841,174.9241805231893
2309.215172096753,0.01272800223161699,-5.651844762806261,173.1627081024401
2334.125494814757,0.0125404561252899,-5.833538194593089,171.4039627181754
2359.30453401506,0.01265131696334197,-6.019074376343906,169.6363420298097
2384.755188437619,0.01268730621363795,-6.207328163429025,167.8591431684806
2410.48038809213,0.01351969730644816,-6.400436473229836,166.0860378886625
2436.483094595342,0.01316018651185123,-6.596292578111123,164.3039572840072
2462.766301512012,0.01308902156242676,-6.796845499625581,162.5172583933139
2489.333034699541,0.01301675508268404,-7.000019130324806,160.7315481724593
2516.18635265633,0.01280283891011873,-7.206919085804536,158.9439308392759
2543.329346873883,0.01269000366198529,-7.417929596297665,157.1512001593679
2570.76514219272,0.01297185258351642,-7.634062917128441,155.3550524415717
2598.496897162124,0.01330306834712878,-7.854474590443212,153.5633426562991
2626.527804403767,0.01320649829983467,-8.077053546920032,151.7692686688477
2654.861090979267,0.01301246070469154,-8.304612166892538,149.9686820477268
2683.500018761695,0.01317327303024139,-8.53728574009336,148.1716750280938
2712.447884811106,0.0135573368268786,-8.774132192757486,146.3774848119342
2741.70802175411,0.01381050470403138,-9.015255666978707,144.5862134119889
2771.28379816754,0.01345185061347017,-9.259858657101741,142.7976271573252
2801.178618966266,0.01344275006544348,-9.508465780500499,141.0133913971893
2831.395925795176,0.01327000118658195,-9.762128767008203,139.2407902348388
2861.939197425407,0.01411089203119746,-10.02011218475893,137.4692820774989
