Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
222.0065215160738,-0.0528476205856503,-11.22734935100406,44.37475393162587
224.8321725725393,-0.0523898226752209,-11.70326806613767,39.39262573884263
227.693787905362,-0.05225868889825967,-12.1622728037388,39.663720108321
230.5918252600837,-0.05284785692173562,-12.55860672177933,38.32847658562795
233.5267482083327,-0.0536776113593447,-12.81335004483562,35.90243918989364
236.4990262219768,-0.05279981466586581,-12.8980651862826,34.23646137685193
239.5091347482203,-0.0521207318047743,-13.10407025160283,31.66042909076747
242.5575552856568,-0.05290658937436807,-13.20524301878136,29.80296267409256
245.6447754612902,-0.0533112803378439,-13.33183824329069,28.03722158932907
248.7712891085353,-0.05374275605778406,-13.35431709658323,28.33795829339807
251.9375963462122,-0.05337221092171975,-13.30108406645675,25.87421756316666
255.1442036585452,-0.05293379354854625,-13.26538077764847,23.92839938825291
258.3916239761804,-0.05333533486508037,-13.13761680994786,24.08555068700193
261.6803767582344,-0.05250394885965271,-12.93007303016102,21.73508121980697
265.0109880753874,-0.05293997096912743,-12.71468680585063,19.30780336553609
268.3839906940332,-0.05352696187965759,-12.36746666151126,16.66161091522939
271.7999241615017,-0.05295559602219801,-12.11998312640235,15.31076528864266
275.2593348923644,-0.05328738425902534,-11.60907615932088,13.40508529265423
278.7627762558394,-0.05288987763269155,-11.0282696692282,12.91535166744028
282.3108086643086,-0.05284377349217155,-9.862544834866267,8.03497975037773
285.9039996629621,-0.05329290778927514,-9.148874659710838,8.080786313263431
289.5429240205822,-0.05295951185027147,-7.503858401746067,1.761103371749408
293.2281638214843,-0.05274281587485285,-6.138171874597266,-6.726053328386854
296.9603085586272,-0.0533787470162942,-4.582391639101566,-18.57438208200807
300.7399552279088,-0.05306111305473517,-2.843918152867894,-34.2778691760513
304.5677084236615,-0.05334479870759255,-1.100208488202957,-57.93983395831027
308.4441804353646,-0.05374600629561638,-0.634736366595591,-92.46369949152603
312.3699913455847,-0.05330090753645048,-3.4691120714972,-131.5059670649927
316.3457691291659,-0.05378281476360013,-8.583997211520286,-148.500958206791
320.3721497536807,-0.05342405931371155,-13.29245658971043,-149.0838955704721
324.4497772811588,-0.05373359647002482,-14.84133710191654,-143.5325049035091
328.5793039711129,-0.05392887332866587,-14.50308255576617,175.244820334065
332.7613903848737,-0.05386871452741865,-14.57710193095331,-138.7452275210904
336.996705491254,-0.05378103577176687,-17.66118553871199,132.7168092561693
341.2859267735567,-0.05363280034608718,-18.09512775570179,-54.58541563098991
345.6297403379464,-0.05322894487381222,-13.66585557805277,-75.64329122584559
350.0288410231986,-0.05260655825048707,-18.58443557822544,-27.13388801656757
354.4839325118465,-0.05347984391139127,-28.11701887853036,-173.5752885477349
358.9957274427427,-0.05394947789330826,-30.11723811422595,173.8227193400582
363.5649475250535,-0.05317476692147969,-27.88841946365704,167.3773075995611
368.192323653703,-0.05389218703370981,-29.17978547984745,159.461827392235
372.8785960262884,-0.05301479376002328,-30.97593709212102,157.1348315582276
377.6245142614821,-0.05397221006204266,-31.70053465144207,146.3406778609335
382.430837518941,-0.05276721995927461,-32.90903182011517,136.1249469477592
387.2983346207417,-0.05322111747719242,-31.8383317105259,118.5240896333118
392.227784174363,-0.05394471372112228,-33.78634891937136,129.3887470390393
397.2199746972308,-0.05361545860743447,-34.58212036923803,111.8610201456016
402.2757047428511,-0.05383965382161429,-32.52244998982547,108.0675116316203
407.3957830285456,-0.05386501811787851,-34.05601891907203,93.55538043177233
412.5810285648163,-0.05314135567299957,-32.42215569857927,92.17958477344587
417.8322707863534,-0.05314174793133553,-30.75336328223424,80.47170178296557
423.1503496847129,-0.05321731584299786,-30.58198404576418,79.62837674139035
428.536115942682,-0.05332388820664739,-29.89382974631759,79.29370159977918
433.9904310703545,-0.05391930439699158,-28.86567683250267,71.40333339510582
439.5141675429385,-0.05385153962313129,-28.2965030821963,71.60706275500856
445.1082089403185,-0.05388928229893231,-27.50698872286114,66.4015114457177
450.7734500883926,-0.05361523380918626,-26.29268848428342,62.39423208898468
456.51079720221,-0.05325648456193013,-24.94512197936413,59.95637190467714
