Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000,0.008663257042265438,-77.978138596295,-86.38038336883429
1031.177274593055,0.009007896439901457,-78.10292379239451,-93.29990617580664
1063.326571637161,0.008752462080704694,-77.24227783361356,-78.57513676706719
1096.478196143185,0.008794415908239629,-78.87645365370987,-91.37290862476166
1130.663397949639,0.009324638735582917,-78.2354102642594,-82.08512525404147
1165.914401179832,0.008955245703760004,-78.53189295855925,-85.47217719469649
1202.264434617413,0.009143253419881901,-77.47863395850337,-74.45500753867806
1239.747763028944,0.009040428370952886,-79.37552170153333,-78.45400019775323
1278.399719463024,0.009090137400033126,-78.57500930915673,-80.57413053055382
1318.256738556407,0.00964215781054099,-78.39777000529565,-85.06768307334566
1359.356390878526,0.009455843903955459,-77.64039811333907,-77.27038441073626
1401.73741834677,0.009996645580465029,-79.41511998533852,-90.10531510951742
1445.439770745927,0.009961655666609432,-78.92730007464203,-93.37015490587862
1490.504643386196,0.01034627728905654,-78.58596929692632,-90.12124600428928
1536.974515935272,0.0100047628547337,-82.4445452778142,-93.4552943607867
1584.893192461113,0.01034937385586617,-79.48423216635707,-77.57757422883627
1634.305842723138,0.01021872065256935,-78.89425866941713,-84.12273028505027
1685.259044750751,0.01013458343274916,-78.46171595864925,-82.19296073038822
1737.800828749375,0.01042312064860504,-79.43711044204473,-80.03104772584368
1791.980722375334,0.0104310162408073,-83.05608856739441,-96.5598891311494
1847.849797422291,0.01041814808321884,-81.25074401793864,-96.91401854607102
1905.460717963247,0.01082008695233617,-78.51615066475661,-78.66696016390323
1964.867789993467,0.01097698176638386,-79.18826641152924,-81.77034852565805
2026.127012621143,0.01151709453760352,-80.87496237063448,-103.1871052478551
2089.29613085404,0.01143771780114305,-79.25575205949092,-96.83367633678802
2154.434690031883,0.01167452433580759,-80.84242279009769,-93.63148752205727
2221.604091955812,0.01180280504919612,-83.29149554045932,-74.77401360637984
2290.867652767774,0.01241640325033175,-80.70993957778795,-98.65197849677482
2362.290662634462,0.01241829706830148,-81.39357391575102,-102.6251908845273
2435.940447292027,0.01356113660255938,-79.76511677034617,-63.65529915600148
2511.88643150958,0.01308848422146351,-78.48150524158376,-96.99294066424864
2590.200204531324,0.01344381922165788,-81.64131266002977,-108.4144494134563
2670.955587558985,0.01420689960021547,-80.53748998049828,-91.46648566986468
2754.228703338166,0.01417247685392676,-80.50611800586452,-101.9425514656541
2840.098047914215,0.01466423871450458,-81.29933726924062,-114.12286192577
2928.644564625235,0.0146148641116819,-82.61129779357051,-125.8104092431188
3019.951720402016,0.01506869837041103,-77.95315015067376,-110.8360346703018
3114.10558444676,0.01530347379696846,-83.08006388505099,-107.8561463095484
3211.194909364822,0.0155514822915809,-81.19358053316945,-114.8667755416893
3311.311214825911,0.01613385016124733,-80.18686228936295,-100.7611735993479
3414.548873833603,0.01750013177481605,-82.96733077396777,-99.64474085849173
3521.005201684519,0.01725255679943941,-84.27756068585957,-115.6917893253094
3630.780547701014,0.01786056984873692,-81.47832774791664,-121.9222252962313
3743.978389823811,0.01851154469118485,-83.45544949608706,-133.5077166229191
3860.705432153813,0.01915969103394539,-82.75906978993126,-121.3680362225433
3981.071705534973,0.01882631184052305,-84.41903614863244,-127.4206826214266
4105.190671273079,0.02006824397160789,-82.93767983360972,-136.9369236127588
4233.179328088209,0.01981756473062958,-78.86419444236947,-133.730917658214
4365.158322401659,0.02141749851239122,-82.72658615800593,-132.1971431252494
4501.252062061337,0.02247451004910999,-80.7812638132115,-136.4136940459617
4641.58883361278,0.01998093397286389,-80.92011285461859,-154.6626334741349
4786.300923226382,0.0226480397498751,-85.07255517256658,161.3317223431071
4935.524741394806,0.02419395311416912,-85.42832410211163,153.3738802737923
5089.400951518091,0.02456600619782797,-82.88958557234152,-144.7079862441302
5248.074602497725,0.02337990512024086,-86.67726712544878,-130.3878391944286
5411.695265464637,0.02058488546607637,-83.59297252834389,-163.2775262528389
5580.417174769964,0.02589413039547737,-94.23709691102317,104.0002473921704
5754.39937337157,0.02692853667063571,-82.7080910834282,179.0920026488158
5933.805862753281,0.0277759775035592,-92.13454221740163,-148.4648900477818
6118.805757518218,0.02834589744360229,-86.28599915464099,-154.270499288723
6309.573444801934,0.02857161809725124,-83.18977298617439,-177.0721373550892
6506.28874865557,0.01727976806284693,-86.55252602371137,-164.1325162477409
6709.137099554112,0.0167133371848315,-83.25384436213221,-167.0374635922795
6918.309709189366,0.02339333062858256,-84.53056888862278,166.913176082588
7134.003750712561,0.02959922069331411,-98.21782844563552,-161.0161337923735
7356.422544596414,0.03292796288391787,-91.54895162850225,145.6394469888102
7585.775750291836,0.03406294069079462,-86.28393484194468,-177.053051487742
7822.279563860026,0.03442459117237698,-85.90706200786124,138.7243192861589
8066.156921766135,0.02227290893886597,-87.32764826967784,178.0357413876893
8317.637711026709,0.03352311645898132,-90.63022046134761,105.6071233827446
8576.958985908941,0.03681547388270361,-86.25777563156288,-146.4036175002355
8844.365191385999,0.03602999217906624,-87.48615458028732,105.5888001309833
9120.108393559096,0.0301489270501305,-86.04122771275634,131.0656137457253
9404.448517263518,0.03911779075532449,-88.04735174205958,-165.3147439318736
9697.653591082491,0.03866230660024586,-91.2842992245394,139.3063359942114
10000,0.03587215203672297,-90.02137303625459,157.2375538032869
