#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C964
#Date Time: 2024-11-15 15:30:01.158
#Sample rate: 400Hz
#Samples: 4096

Time (s),UART2,UART
-1.7425,h8A Framing Error,h5D[]]
-1.74,h8A Framing Error,h5D[]]
-1.7375,h8A Framing Error,h5D[]]
-1.735,h8A Framing Error,h5D[]]
-1.7325,h8A Framing Error,h5D[]]
-1.73,h8A Framing Error,h5D[]]
-1.7275,h8A Framing Error,h5D[]]
-1.725,h8A Framing Error,h5D[]]
-1.7225,h8A Framing Error,h5D[]]
-1.72,h8A Framing Error,h5D[]]
-1.7175,h8A Framing Error,h5D[]]
-1.715,h8A Framing Error,h5D[]]
-1.7125,h8A Framing Error,h5D[]]
-1.71,h8A Framing Error,h5D[]]
-1.7075,h8A Framing Error,h5D[]]
-1.705,h8A Framing Error,h5D[]]
-1.7025,h8A Framing Error,h5D[]]
-1.7,h8A Framing Error,h5D[]]
-1.6975,h8A Framing Error,h5D[]]
-1.695,h8A Framing Error,h5D[]]
-1.6925,h8A Framing Error,h5D[]]
-1.69,h8A Framing Error,h5D[]]
-1.6875,h8A Framing Error,h5D[]]
-1.685,h8A Framing Error,h5D[]]
-1.6825,h8A Framing Error,h5D[]]
-1.68,h8A Framing Error,h5D[]]
-1.6775,h8A Framing Error,h5D[]]
-1.675,h8A Framing Error,h5D[]]
-1.6725,h8A Framing Error,h5D[]]
-1.67,h8A Framing Error,h5D[]]
-1.6675,h8A Framing Error,h5D[]]
-1.665,h8A Framing Error,h5D[]]
-1.6625,h8A Framing Error,h5D[]]
-1.66,h8A Framing Error,h5D[]]
-1.6575,h8A Framing Error,h5D[]]
-1.655,h8A Framing Error,h5D[]]
-1.6525,h8A Framing Error,h5D[]]
-1.65,h8A Framing Error,h5D[]]
-1.6475,h8A Framing Error,h5D[]]
-1.645,h8A Framing Error,h5D[]]
-1.6425,h8A Framing Error,h5D[]]
-1.64,h8A Framing Error,h5D[]]
-1.6375,h8A Framing Error,h5D[]]
-1.635,h8A Framing Error,h5D[]]
-1.6325,h8A Framing Error,h5D[]]
-1.63,h8A Framing Error,h5D[]]
-1.6275,h8A Framing Error,h5D[]]
-1.625,h8A Framing Error,h5D[]]
-1.6225,h8A Framing Error,h5D[]]
-1.62,h8A Framing Error,h5D[]]
-1.6175,h8A Framing Error,h5D[]]
-1.615,h8A Framing Error,h5D[]]
-1.6125,h8A Framing Error,h5D[]]
-1.61,h8A Framing Error,h5D[]]
-1.6075,h8A Framing Error,h5D[]]
-1.605,h8A Framing Error,h5D[]]
-1.6025,h8A Framing Error,h5D[]]
-1.6,h8A Framing Error,h5D[]]
-1.5975,h8A Framing Error,h5D[]]
-1.595,h8A Framing Error,h5D[]]
-1.5925,h8A Framing Error,h5D[]]
-1.59,h8A Framing Error,h5D[]]
-1.5875,h8A Framing Error,h5D[]]
-1.585,h8A Framing Error,h5D[]]
-1.5825,h8A Framing Error,h5D[]]
-1.58,h8A Framing Error,h5D[]]
-1.5775,h8A Framing Error,h5D[]]
-1.575,h8A Framing Error,h5D[]]
-1.5725,h8A Framing Error,h5D[]]
-1.57,h8A Framing Error,h5D[]]
-1.5675,h8A Framing Error,h5D[]]
-1.565,h8A Framing Error,h5D[]]
-1.5625,h8A Framing Error,h5D[]]
-1.56,h8A Framing Error,h5D[]]
-1.5575,h8A Framing Error,h5D[]]
-1.555,h8A Framing Error,h5D[]]
-1.5525,h8A Framing Error,h5D[]]
-1.55,h8A Framing Error,h5D[]]
-1.5475,h8A Framing Error,h5D[]]
-1.545,h8A Framing Error,h5D[]]
-1.5425,h8A Framing Error,h5D[]]
-1.54,h8A Framing Error,h5D[]]
-1.5375,h8A Framing Error,h5D[]]
-1.535,h8A Framing Error,h5D[]]
-1.5325,h8A Framing Error,h5D[]]
-1.53,h8A Framing Error,h5D[]]
-1.5275,h8A Framing Error,h5D[]]
-1.525,h8A Framing Error,h5D[]]
-1.5225,h8A Framing Error,h5D[]]
-1.52,h8A Framing Error,h5D[]]
-1.5175,h8A Framing Error,h5D[]]
-1.515,h8A Framing Error,h5D[]]
-1.5125,h8A Framing Error,h5D[]]
-1.51,h8A Framing Error,h5D[]]
-1.5075,h8A Framing Error,h5D[]]
-1.505,h8A Framing Error,h5D[]]
-1.5025,h8A Framing Error,h5D[]]
-1.5,h8A Framing Error,h5D[]]
-1.4975,h8A Framing Error,h5D[]]
-1.495,h8A Framing Error,h5D[]]
-1.4925,h8A Framing Error,h5D[]]
-1.49,h8A Framing Error,h5D[]]
-1.4875,h8A Framing Error,h5D[]]
-1.485,h8A Framing Error,h5D[]]
