v1	V(output)	V(n007)	V(n008)
2.675855109572252e-03	-3.436173e-03	2.675510e-02	-4.505308e-05
2.694467153731409e-03	-3.436173e-03	2.694120e-02	-4.505308e-05
2.713208654895373e-03	-3.436173e-03	2.712859e-02	-4.505308e-05
2.732080513508821e-03	-3.436173e-03	2.731728e-02	-4.505308e-05
2.751083636279517e-03	-3.436173e-03	2.750729e-02	-4.505308e-05
2.770218936221880e-03	-3.436173e-03	2.769862e-02	-4.505308e-05
2.789487332700842e-03	-3.436173e-03	2.789128e-02	-4.505308e-05
2.808889751476026e-03	-3.436173e-03	2.808528e-02	-4.505308e-05
2.828427124746222e-03	-3.436173e-03	2.828063e-02	-4.505308e-05
2.848100391194176e-03	-3.436173e-03	2.847733e-02	-4.505308e-05
2.867910496031688e-03	-3.436173e-03	2.867541e-02	-4.505308e-05
2.887858391045025e-03	-3.436173e-03	2.887486e-02	-4.505308e-05
2.907945034640655e-03	-3.436173e-03	2.907570e-02	-4.505308e-05
2.928171391891285e-03	-3.436173e-03	2.927794e-02	-4.505308e-05
2.948538434582237e-03	-3.436173e-03	2.948158e-02	-4.505308e-05
2.969047141258133e-03	-3.436173e-03	2.968665e-02	-4.505308e-05
2.989698497269913e-03	-3.436173e-03	2.989313e-02	-4.505308e-05
3.010493494822171e-03	-3.436173e-03	3.010106e-02	-4.505308e-05
3.031433133020833e-03	-3.436173e-03	3.031043e-02	-4.505308e-05
3.052518417921155e-03	-3.436173e-03	3.052125e-02	-4.505308e-05
3.073750362576062e-03	-3.436173e-03	3.073354e-02	-4.505308e-05
3.095129987084818e-03	-3.436173e-03	3.094731e-02	-4.505308e-05
3.116658318642038e-03	-3.436173e-03	3.116257e-02	-4.505308e-05
3.138336391587042e-03	-3.436173e-03	3.137932e-02	-4.505308e-05
3.160165247453548e-03	-3.436173e-03	3.159758e-02	-4.505308e-05
3.182145935019715e-03	-3.436173e-03	3.181736e-02	-4.505308e-05
3.204279510358529e-03	-3.436173e-03	3.203867e-02	-4.505308e-05
3.226567036888547e-03	-3.436173e-03	3.226151e-02	-4.505308e-05
3.249009585424984e-03	-3.436173e-03	3.248591e-02	-4.505308e-05
3.271608234231167e-03	-3.436173e-03	3.271187e-02	-4.505308e-05
3.294364069070335e-03	-3.436173e-03	3.293940e-02	-4.505308e-05
3.317278183257810e-03	-3.436173e-03	3.316851e-02	-4.505308e-05
3.340351677713521e-03	-3.436173e-03	3.339922e-02	-4.505308e-05
3.363585661014903e-03	-3.436173e-03	3.363153e-02	-4.505308e-05
3.386981249450154e-03	-3.436173e-03	3.386545e-02	-4.505308e-05
3.410539567071872e-03	-3.436173e-03	3.410101e-02	-4.505308e-05
3.434261745751061e-03	-3.436173e-03	3.433819e-02	-4.505308e-05
3.458148925231508e-03	-3.436173e-03	3.457704e-02	-4.505308e-05
3.482202253184544e-03	-3.436173e-03	3.481754e-02	-4.505308e-05
3.506422885264188e-03	-3.436173e-03	3.505971e-02	-4.505308e-05
3.530811985162668e-03	-3.436173e-03	3.530357e-02	-4.505308e-05
3.555370724666330e-03	-3.436173e-03	3.554913e-02	-4.505308e-05
3.580100283711939e-03	-3.436173e-03	3.579639e-02	-4.505308e-05
3.605001850443371e-03	-3.436173e-03	3.604538e-02	-4.505308e-05
3.630076621268694e-03	-3.436173e-03	3.629609e-02	-4.505308e-05
3.655325800917654e-03	-3.436173e-03	3.654855e-02	-4.505308e-05
3.680750602499553e-03	-3.436173e-03	3.680277e-02	-4.505308e-05
3.706352247561537e-03	-3.436173e-03	3.705875e-02	-4.505308e-05
