v1	V(n007)
1.170398641474618e-03	1.170247e-02
1.171210181218838e-03	1.171058e-02
1.172022283674542e-03	1.171870e-02
1.172834949231907e-03	1.172683e-02
1.173648178281381e-03	1.173496e-02
1.174461971213683e-03	1.174309e-02
1.175276328419800e-03	1.175124e-02
1.176091250290994e-03	1.175938e-02
1.176906737218797e-03	1.176754e-02
1.177722789595011e-03	1.177570e-02
1.178539407811712e-03	1.178386e-02
1.179356592261246e-03	1.179203e-02
1.180174343336232e-03	1.180021e-02
1.180992661429560e-03	1.180839e-02
1.181811546934396e-03	1.181658e-02
1.182631000244173e-03	1.182477e-02
1.183451021752602e-03	1.183297e-02
1.184271611853663e-03	1.184118e-02
1.185092770941613e-03	1.184939e-02
1.185914499410979e-03	1.185760e-02
1.186736797656563e-03	1.186583e-02
1.187559666073442e-03	1.187405e-02
1.188383105056963e-03	1.188229e-02
1.189207115002753e-03	1.189053e-02
1.190031696306707e-03	1.189877e-02
1.190856849365000e-03	1.190702e-02
1.191682574574078e-03	1.191528e-02
1.192508872330664e-03	1.192354e-02
1.193335743031754e-03	1.193181e-02
1.194163187074622e-03	1.194008e-02
1.194991204856815e-03	1.194836e-02
1.195819796776157e-03	1.195665e-02
1.196648963230747e-03	1.196494e-02
1.197478704618962e-03	1.197323e-02
1.198309021339452e-03	1.198153e-02
1.199139913791146e-03	1.198984e-02
1.199971382373249e-03	1.199816e-02
1.200803427485242e-03	1.200647e-02
1.201636049526885e-03	1.201480e-02
1.202469248898212e-03	1.202313e-02
1.203303025999536e-03	1.203147e-02
1.204137381231450e-03	1.203981e-02
1.204972314994821e-03	1.204816e-02
1.205807827690795e-03	1.205651e-02
1.206643919720797e-03	1.206487e-02
1.207480591486531e-03	1.207324e-02
1.208317843389977e-03	1.208161e-02
1.209155675833397e-03	1.208999e-02
1.209994089219328e-03	1.209837e-02
1.210833083950589e-03	1.210676e-02
1.211672660430279e-03	1.211515e-02
1.212512819061773e-03	1.212355e-02
1.213353560248729e-03	1.213196e-02
1.214194884395083e-03	1.214037e-02
1.215036791905052e-03	1.214879e-02
1.215879283183133e-03	1.215721e-02
1.216722358634104e-03	1.216564e-02
1.217566018663023e-03	1.217408e-02
1.218410263675228e-03	1.218252e-02
1.219255094076340e-03	1.219097e-02
1.220100510272260e-03	1.219942e-02
1.220946512669171e-03	1.220788e-02
1.221793101673538e-03	1.221634e-02
1.222640277692106e-03	1.222481e-02
1.223488041131904e-03	1.223329e-02
1.224336392400242e-03	1.224177e-02
1.225185331904714e-03	1.225026e-02
1.226034860053194e-03	1.225876e-02
1.226884977253842e-03	1.226726e-02
1.227735683915099e-03	1.227576e-02
1.228586980445688e-03	1.228428e-02
1.229438867254619e-03	1.229279e-02
1.230291344751183e-03	1.230132e-02
1.231144413344955e-03	1.230985e-02
1.231998073445795e-03	1.231838e-02
1.232852325463846e-03	1.232692e-02
1.233707169809536e-03	1.233547e-02
1.234562606893578e-03	1.234402e-02
1.235418637126969e-03	1.235258e-02
1.236275260920991e-03	1.236115e-02
1.237132478687212e-03	1.236972e-02
1.237990290837486e-03	1.237830e-02
1.238848697783949e-03	1.238688e-02
1.239707699939027e-03	1.239547e-02
1.240567297715429e-03	1.240406e-02
1.241427491526153e-03	1.241266e-02
1.242288281784480e-03	1.242127e-02
1.243149668903981e-03	1.242988e-02
1.244011653298510e-03	1.243850e-02
1.244874235382212e-03	1.244713e-02
1.245737415569515e-03	1.245576e-02
1.246601194275139e-03	1.246439e-02
1.247465571914088e-03	1.247304e-02
1.248330548901654e-03	1.248168e-02
1.249196125653419e-03	1.249034e-02
1.250062302585251e-03	1.249900e-02
1.250929080113309e-03	1.250767e-02
1.251796458654037e-03	1.251634e-02
1.252664438624171e-03	1.252502e-02
1.253533020440733e-03	1.253370e-02
1.254402204521038e-03	1.254239e-02
1.255271991282686e-03	1.255109e-02
1.256142381143571e-03	1.255979e-02
1.257013374521872e-03	1.256850e-02
1.257884971836062e-03	1.257722e-02
1.258757173504902e-03	1.258594e-02
1.259629979947444e-03	1.259466e-02
1.260503391583030e-03	1.260340e-02
1.261377408831294e-03	1.261214e-02
1.262252032112161e-03	1.262088e-02
1.263127261845844e-03	1.262963e-02
1.264003098452852e-03	1.263839e-02
1.264879542353982e-03	1.264715e-02
1.265756593970326e-03	1.265592e-02
1.266634253723264e-03	1.266470e-02
1.267512522034470e-03	1.267348e-02
1.268391399325913e-03	1.268227e-02
1.269270886019851e-03	1.269106e-02
1.270150982538836e-03	1.269986e-02
1.271031689305713e-03	1.270867e-02
1.271913006743620e-03	1.271748e-02
1.272794935275990e-03	1.272630e-02
1.273677475326546e-03	1.273512e-02
1.274560627319309e-03	1.274395e-02
1.275444391678591e-03	1.275279e-02
1.276328768829000e-03	1.276163e-02
1.277213759195437e-03	1.277048e-02
1.278099363203099e-03	1.277934e-02
1.278985581277477e-03	1.278820e-02
1.279872413844356e-03	1.279706e-02
1.280759861329819e-03	1.280594e-02
1.281647924160242e-03	1.281482e-02
1.282536602762297e-03	1.282370e-02
1.283425897562953e-03	1.283259e-02
1.284315808989475e-03	1.284149e-02
1.285206337469422e-03	1.285040e-02
1.286097483430653e-03	1.285931e-02
1.286989247301320e-03	1.286822e-02
1.287881629509875e-03	1.287714e-02
1.288774630485065e-03	1.288607e-02
1.289668250655936e-03	1.289501e-02
